CNTSCHID,Unnamed: 0,Unnamed: 0.1,CNTSTUID,LECTURA1,MATES1,CIENCIA1,GLOBAL1,LECTURA2,MATES2,CIENCIA2,GLOBAL2,FCFMLRTY,SCCHANGE,CHANGE,STUBMI,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,WEALTH,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,ATTIMM,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,DISCRIM,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,INFOCAR,INFOJOB1,INFOJOB2,FLCONFIN,FLCONICT,FLSCHOOL,FLFAMILY,Unnamed: 0_x,TCSTAFFSHORT,TCEDUSHORT,COLT,EXCHT,SATJOB,SATTEACH,SEFFCM,SEFFREL,SEFFINS,TCOTLCOMP,TCSTIMREAD,TCSTRATREAD,TCICTUSE,TCDISCLIMA,TCDIRINS,FEEDBACK,ADAPTINSTR,FEEDBINSTR,TCATTIMM,GCTRAIN,TCMCEG,GCSELF,Unnamed: 0_y,CCAA,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG
72400704.0,22927.5,22927.5,72421898.5,0.6798037937095561,0.703595891632686,0.691779198260591,0.679241752317315,0.6884137369439568,0.6951559662519835,0.6969023866275408,0.695278279471228,8.189426990308318,0.32511497189575883,0.49523565783708084,21.085966767295826,0.4188777571775229,0.4377768977793837,0.3399411560309358,0.42706793469842924,8.779212734033981,6.013487697949317,0.14373492980699062,0.14451027887695497,-0.25345790432783033,0.07921491444886941,-0.12096156695498927,0.34109972027163415,-0.025676808488025754,-0.41891108333096555,-0.5799412100669539,0.041780454480713936,-0.5040496470924416,-0.01205417866190709,-0.41069229352397746,0.6963820740311965,0.09806310178128158,-0.03573174546876622,-0.24389012510021088,-0.3659370627927843,0.17149910096555723,-0.0009799680663647216,-0.1209265570661543,0.3426862087374071,-0.16641564069477235,0.0634163758086344,0.3264929693066271,0.08045218764429739,0.47572397462713806,-0.160531550463983,0.1871652135986074,0.3429716928397852,0.2697847795217976,0.18146164356180383,0.09559683571000972,0.2927759807650715,0.25779416795765225,0.40716888222344644,-0.44815987642690175,0.4140029527987119,-0.06655334303870585,0.21259077623075184,-0.21857554251875824,-0.021054100321962473,0.12050787605399234,0.2691615969672609,0.13428717826025194,0.11735123845674798,-0.21406438569656516,0.3394969597362843,0.17018583136542487,0.39152634886058585,-0.3232706400804018,-0.03736030146159789,0.15076074947106155,0.05597390812689038,0.04690600771385677,10814.09090909091,-0.7365552197790706,-0.457008029086502,-0.011438641030428099,-0.12218865274760744,0.2796764042718341,0.5783363636363638,-0.22609477858198593,0.37684386201387476,0.11666429458501502,0.012790909090909096,0.045623565780054526,-0.0808837691485893,-0.004582338398459502,-0.15325998818997774,0.2827152038650294,0.1788209534742036,0.19569090115487675,0.28596051031543807,0.22329294284314946,0.2505182674640763,0.7735379616952334,0.2982754455885476,698.0,4.0,0.46979999999999994,-0.6140000000000003,-0.5591000000000003,-0.4345999999999998,0.9041999999999998
72400705.0,22960.5,22960.5,72424971.73809524,0.7395239365983739,0.780494986509522,0.7544913004257746,0.7323431230830171,0.7504910952680334,0.7609590235929435,0.7601830808632157,0.756786133892257,12.919970078623784,0.30004927366961087,0.44474329848700234,21.139044666004757,1.1030976190476192,0.08587251301679068,0.3435714285714286,0.27499999999999997,9.311983734534444,7.122213491136728,0.7561309523809522,0.29329523809523805,-0.292947619047619,1.0565570988043365,0.6505247430933843,0.31213571428571435,0.22171666666666662,-0.40133809523809516,-0.1294,0.24949743721463916,-0.057090476190476205,0.07570475847755039,0.7467523809523808,-0.17615000000000003,-0.23795917993450572,-0.10121887706846634,-0.4691857142857142,0.2451696237426017,0.14324738553217942,0.5070738095238093,0.16096145988586072,0.12769688118328024,0.1747729121824461,-0.0912619878641997,0.38540751503998855,0.28625125008245567,-0.10018153830830205,0.09896054259200968,-0.13700626246079506,0.5225195387655914,0.14935538169981802,0.19522427691243321,0.37424076258381217,0.4813934175800408,0.2072057144701407,0.459967932699112,-0.4973634528339371,0.6258872017840259,-0.2748607340426428,-0.006040245743616198,-0.31709230321033316,-0.24256255940474677,0.39062602601788887,0.2912707797919478,0.1611492645948616,-0.04216724640808357,-0.0265043101635775,-0.13773757972574505,0.018000792713694383,-0.07443745292353059,-0.4144169714668581,-0.03173925555343643,-0.23636902668090368,0.582254647147178,-0.12420797355249101,12883.849999999991,-0.18712796702791062,-0.41350532798060835,-0.04374187885010318,0.6075049279105268,-0.005931976828927795,0.4891657693821506,0.11323797423926181,0.2480864964305246,0.1072578961740662,0.337809926328243,0.2613019417685449,0.10141089045241362,0.30443271104677777,-0.1508469902567316,0.262887543188649,0.021306097643247892,0.24357749345277335,0.5923799210102356,0.3596439485098576,0.47584537684193534,0.5472170314590273,0.1666939868632031,699.0,13.0,-1.4211999999999994,-1.4551000000000012,-2.0719,-1.4189999999999987,0.9042000000000001
72400706.0,22996.5,22996.5,72426438.6,0.6010493245996512,0.6329290726445034,0.6130652656614438,0.6085652611999198,0.6107159577446081,0.6194265512415937,0.6190037600150216,0.6186902598958686,5.178999404639906,0.32014563106796107,0.5158697660049968,20.931661843363322,-0.3573299999999999,0.26040576474373844,-0.0149987309644754,-0.4765307972698082,8.22528069609737,6.13583983774814,-0.006289057174122796,0.019580000000000018,0.01942000000000003,0.0005133333333332953,-0.12731601316796437,-0.21187000000000003,0.011623333333333319,-0.13086553333143913,-0.23845630138689644,-0.07176294549080017,-0.5329622040291466,-0.21367000479809609,0.0969494985141513,-0.43677402976683855,-0.315270926208207,0.1504915090624675,0.47551684987974696,0.10356931478919522,-0.28352058845890793,0.08814538442714977,0.1265141753608198,0.4797440841414807,0.030083718610455203,0.36901620129381507,0.2698003140585561,0.01530858367964711,-0.30020246089486863,-0.026618894199435045,-0.12867976654519303,0.35368857102262397,-0.03264739686076432,0.21268595070962606,0.1272549371360156,0.30081744297120566,-0.021525997934423065,0.3208456546688702,0.3172351989853143,0.44756457748345546,-0.13129404425551988,-0.22277185791875573,-0.16817637143837963,-0.21008516633329097,0.02138374007888452,-0.006564427489688299,-0.03901308444823256,0.08467648475694346,-0.12172841890585441,-0.18337098877639232,-0.24294311412857084,-0.13092784182306266,-0.16371969079530943,-0.46065435485161504,-0.6068064696287216,-0.29327135548033995,-0.09147232594697488,10546.888888888881,-0.3848853937693823,-0.5989134222087552,-0.10032986538900358,0.6097735610489771,0.7915114986452386,0.764139458801593,-0.0830229345560681,0.4930892336323093,0.33355756678754583,0.660707352835736,0.07750771307616104,-0.0911767883862069,0.21452063267137353,-0.15244665584081304,0.17388060354294355,-0.031240209969966688,0.2557083260586372,0.3637054677891511,0.1754117697985124,0.1158947584793908,0.44926599406876905,0.05503610198833549,700.0,10.0,-1.4211999999999996,-0.5869,-1.2561000000000002,-0.5581999999999998,0.1328999999999999
72400707.0,23027.5,23027.5,72422011.6875,0.688268510458228,0.7276286885432036,0.7017012130024979,0.6826778867581542,0.6986521267264425,0.7087062238781957,0.7076327035375408,0.7047522430535927,8.84375,0.6000934146653042,0.7179511603901274,20.34770402681249,1.17833125,0.5855900577781792,0.6080808670232021,0.276400475511911,9.664957045120364,6.7541552071169555,0.978621875,0.42040937500000003,-0.078971875,1.189962442180692,0.9199068626550334,0.58485,0.817325,0.20354375,-0.02189374999999997,0.300828125,0.80213125,0.565675,0.9609624999999997,0.0716740555233973,-0.09472142366403884,-0.08007187500000001,-0.39328535941257914,-0.379840625,0.18275312499999996,0.46759687500000024,-0.10971933389980787,0.21501086450454976,-0.21359805276053967,0.017450000000000018,0.23175361348998513,0.22304999999999997,-0.1832941345148232,-0.023378124999999996,0.2949375000000001,0.5141468750000001,0.5732625,0.6828750000000002,0.4994937499999999,0.495584375,0.2519781249999999,0.4371812500000001,-0.4334593749999999,0.5014281249999998,-0.3216624999999999,-0.0009738784808083134,-0.06040198018068571,-0.025955042471572834,0.295414596121483,0.15785168332663432,0.0052846123172965095,0.1643666378085367,-0.10186190708969542,-0.08978640098893392,-0.21377583493225902,-0.12297217294320076,-0.15117403757537662,-0.16290994024049618,-0.2670789386901114,0.08528355609516779,-0.20857499999999998,8499.647058823528,-0.7746366031005492,-0.6195273505796802,-0.08601985747070971,0.17488085054876198,0.6976972639886557,0.8267826546596666,0.7137101356937915,0.2802072778369962,0.2673836306650291,0.011603892677742495,0.1924316961982883,0.05760104759107504,0.30172225404266234,-0.07185528265497836,0.24490887433958713,-0.08009142751033181,0.19357352170914502,0.21490578942380736,0.08162747728376067,0.1743178687305503,0.5045148668201591,0.06593705302788373,701.0,13.0,0.10000000000000005,0.4299999999999998,-1.5397000000000012,-0.5205000000000001,0.9041999999999997
72400708.0,23060.0,23060.0,72424147.57575758,0.6904894911690921,0.7189182592084615,0.7066077124845622,0.6951451400893766,0.7005454669128878,0.708591947609932,0.7102421328754209,0.7087883185927244,8.363636363636363,0.5818739257676406,0.8966799149109079,20.981410591796962,-0.07498181818181819,0.5069358136030829,0.5589613685806558,0.3371156126176107,8.704629213395117,5.994220056877546,-0.020969696969696992,-0.1852909090909091,-0.4689363636363636,0.15951818181818178,-0.10606969696969701,-0.04575151515151517,0.0689242424242424,-0.4926121212121212,-0.1155121212121212,-0.1923652672270476,-0.2844181818181818,-0.03381818181818184,0.14604242424242422,0.01029696969696971,-0.021778787878787897,-0.24736666666666662,-0.2304797424606827,-0.0908939393939394,-0.008506120046354355,-0.12036969696969699,-0.13705454545454543,0.08893030303030307,-0.3236253844950688,-0.03647272727272724,0.34340606060606055,-0.1460424242424242,-0.33846666666666664,0.29192121212121214,0.12076666666666669,0.34565757575757583,0.20687575757575755,0.015078787878787856,0.2570393939393939,0.2797878787878787,0.07717878787878787,0.19310303030303033,-0.37717272727272716,0.2310030303030302,-0.40248484848484833,0.044222153006971965,-0.12071176870960598,-0.412122141804399,0.23973075885332407,0.09408779430375068,0.11991771383309371,0.03959746075565414,-0.4099579739937548,-0.27365249744918013,-0.0471206071340107,0.2103521691445265,-0.13678879519049783,0.2714666666666667,0.2991114846561436,-0.23993030303030308,-0.1663818181818182,11130.159999999994,-0.20677156043349298,0.2325176064232703,-0.22740890349076023,0.3326399134926325,0.4010744185368579,0.30114061550572013,-0.10974043091288574,0.07163579571662965,0.0023514754088793995,0.15744258808345976,0.021192427203480694,-0.1411202593231448,0.2752732532561336,0.026672328833896482,0.39628977249104175,-0.1977046828281024,0.47587079406384797,0.4451924617159476,-0.0377212617881706,0.13588845221032286,0.0147647340057086,0.16049278423584382,702.0,4.0,2.186100000000001,0.1963999999999999,0.6663999999999998,-0.3478999999999998,0.9041999999999997
72400709.0,23092.5,23092.5,72421476.75,0.6453122551677883,0.6977395120781553,0.6507221579677578,0.6534276065495669,0.6571523867470606,0.6704896074474531,0.664871196676074,0.6658056840988775,9.51707024273124,0.40001437148696983,0.6144558122938009,21.601977659384374,-0.20578855711685776,0.1550329622254341,0.033036734046403726,0.04458916429168839,8.896909550525486,6.760115773461988,-0.12375625000000003,-0.20249999999999996,0.06866562500000001,-0.10638124999999998,-0.27250937500000005,-0.7158937499999998,0.17530041226796136,-0.026688499996448383,-0.35352431510043075,0.07872909086053548,-0.5341554559579937,-0.21360938399643029,-0.09751656528596629,-0.06536940290641109,-0.07159104198423284,-0.12773392730472402,-0.06758189088805341,-0.22512467209458834,-0.015697426680226258,0.18880444685067943,-0.024662878398846996,0.12566896965916585,-0.2502519943237776,0.2897053774259031,0.43824043093991105,0.21475343793289223,-0.22231557611858568,-0.018713100927966138,-0.07994316786910366,0.43811478140774224,0.08207744044303338,0.13591495379027438,0.27626087856501463,0.5893492580315601,0.12392375217853815,0.11208769833516963,-0.24170779341640702,0.5449256489651706,-0.252837496906642,-0.025382736884624058,-0.3852765841854251,-0.15197076698862913,0.1604766211627469,0.33480430530059424,0.31131634492691856,0.04857592884256105,-0.37269203927242384,-0.3574701853955736,-0.10733000036898283,-0.26965591278485346,-0.35336766002010056,-0.25680130328859535,-0.5071970322417596,-0.23569159452416089,-0.3792222384292148,9992.086956521734,-0.3258333373099127,-0.26267369041581223,-0.3673711990000897,0.6078618859994287,0.14061102120900643,0.5266132664875799,-0.09912969911376554,-0.20942989518421215,-0.3362710798297179,-0.0363406010642772,-0.042020050636047766,0.018761643871664114,0.09675428254576093,-0.04929738283194058,0.40085873320752097,0.018349443346655493,0.03818477691545508,0.07875645305237942,-0.0406129851534,0.2867177599540673,0.3126373133838312,0.2942647697574811,703.0,12.0,-0.3123000000000003,0.4299999999999998,-0.09560000000000002,-0.4414999999999997,-2.1047000000000002
