,SC042Q01TA_0,SC001Q01TA_0,SC042Q02TA_0,SC167Q06HA_0,FORPRO_0,GARCOLE_0,GRAFAMI_0,HORPRO_0,HORPRO_0_1,DIFPREPA_0,DIFPREPA_0_1,DIFPREPA_0_1_2,DIFPREPA_0_1_2_3,DIFPRESU_0,DIFPRESU_0_1,DIFPRESU_0_1_2,DIFPRESU_0_1_2_3,PROGLO_0,PROGLO_0_1,PROGLO_0_1_2,CREACTIV_0,CREACTIV_0_1,CREACTIV_0_1_2,CREACTIV_0_1_2_3,SC011Q01TA_0,SC011Q01TA_0_1,ORIEDU_0,ORIEDU_0_1,ORIEDU_0_1_2,ORIEDU_0_1_2_3,ORIEDU_0_1_2_3_4,TECCEN_0,TECCEN_0_1,TECCEN_0_1_2,TECCEN_0_1_2_3,TECCEN_0_1_2_3_4,FRAESCO_0,FRAESCO_0_1,FRAESCO_0_1_2,FRAESCO_0_1_2_3,FRAESCO_0_1_2_3_4,EDUINTE_0,EDUINTE_0_1,EDUINTE_0_1_2,PESCURRI_0,PESCURRI_0_1,PESCURRI_0_1_2,DIGIEDU_0,DIGIEDU_0_1,DIGIEDU_0_1_2,POLEQUI_0,POLEQUI_0_1,POLEQUI_0_1_2,POLEQUI_0_1_2_3,SC048Q02NA_0,SC048Q01NA_0,SC048Q03NA_0,DIVECUL_0,PREPCEN_0,PRODIVCUL_0,SCHLTYPE_0,STRATIO_0,CLSIZE_0,SCHSIZE_0,EVAALU_0,DATCOLE_0,CNTSCHID
570,2.3703261575747092e-12,99.99999999999672,5.839773109528323e-12,5.086209231563998e-13,33.45164096543047,75.9404928732964,73.0,34.692819802409645,29.108008927182897,36.46059624195512,37.62378893723955,46.108871645945946,76.96845688055696,38.68772836853435,47.39348162824669,72.72237856232049,75.31410380218952,43.63143655731637,49.62440757681659,3.760880495917718e-13,55.106099211885265,22.325546467367836,35.24644587748572,44.46153788883213,45.54112107622695,0.0,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,65.69971632665131,51.44158805351694,70.6968269431368,41.18667697338284,19.740483839983806,67.17636731457357,61.231364990802994,36.135144097241785,29.440152698097187,45.97588546095881,21.112984541962494,0.0,100.0,12.220363799904483,0.0,84.55299347113159,54.99600026494481,4.282012650377637,44.164313410201686,62.35048184260796,25.796970992432833,59.794179114110825,11.629108230253246,19.660013943002816,12.999999999999998,49.602242216579796,3.83026943495679e-13,12.919726820989338,8.520961713998076e-13,0.0,35.36772393897319,2.275957200481571e-13,34.66096089351659,2.7755575615628914e-15,49.65560624477238,72400574.0
571,100.0,31.39030272708798,99.99999999999913,5.086209231563998e-13,40.2000835419346,43.95049858549885,84.99999999999999,60.84014800663877,21.46115861256961,21.392680590581552,56.28828048700233,36.45640825709632,7.449002547059896,51.87427760669981,16.992224375893024,34.889208775648314,43.95828874952955,27.857684064844346,45.65475144764403,54.55561018359762,39.17237843789189,16.837184725022635,47.77934440140976,29.063537351005802,0.0,99.99999999999989,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,52.333111991313906,38.776380058549165,27.09119949595573,48.2502732078018,7.444783982220931,57.22195846129877,40.20296940101443,36.92382383556259,7.3821128169159795,36.04919008391182,23.507745765870094,1.257842221666368,50.906311779490366,23.219835048750888,90.66233450959733,2.1824889913554637,51.549303722454056,59.62379554054448,19.179646949234286,17.891644618382273,38.564320221427806,62.080576974262456,55.54816429608018,10.865956950258514,2.0000000000000018,7.750350346340595,36.36773457554814,10.095204095964338,8.520961713998076e-13,0.0,28.276406627638007,99.99999999999972,11.372355214705863,4.12674647599483,49.65560624477238,72400575.0
572,100.0,13.437148831640283,99.99999999999913,5.086209231563998e-13,47.87670175478708,61.95928043024432,4.999999999999999,56.19334352500462,49.078659960869075,39.21580820135214,62.179186934827925,0.0,11.706257947712462,31.808841101302832,68.76124461658652,17.887042769069588,56.38225208047821,43.63143655731637,49.62440757681659,3.760880495917718e-13,98.77479000692976,34.3672242978207,38.22612633643716,63.77313528614374,0.0,99.99999999999989,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,52.5702023385839,67.52771004007394,64.36603465074838,27.48625517304994,70.61549661023379,35.64506693440676,17.976960581030088,29.23045475954991,11.951944379169472,41.068429881164484,26.174298394377015,2.518789358109875,1.2934098236883074e-12,51.79301667474336,20.58077605701522,82.99382000813003,98.35542554499419,61.105860703761614,53.09867512974462,54.96322671507149,24.2049713730209,23.741436004274764,27.22289510532981,19.660013943002816,20.534140969162998,21.625812368990825,22.30846414945653,50.42950667541619,8.520961713998076e-13,100.0,57.63323793295563,2.275957200481571e-13,77.52979555069047,5.565009106710087,36.3673980838357,72400576.0
573,2.3703261575747092e-12,99.99999999999672,78.45674012392483,5.086209231563998e-13,33.33556832687517,66.00569253147114,79.99999999999999,46.042005852949714,28.1548907146881,25.18221467459942,31.504850438628964,3.833057377599541,5.323833273995726,1.7621016560269542,26.783169496787774,23.30512059756047,24.510962076467564,43.63143655731637,49.62440757681659,3.760880495917718e-13,26.567880439219078,24.124872020426753,31.413513758548444,68.16590367242074,0.0,99.99999999999989,6.918655937741722,52.06176677282026,11.900377161387233,47.58811569058704,45.55382039970778,49.2149546252924,34.26978515246007,53.27670530482149,62.70462160491495,73.82736807715497,53.64757681785981,69.93963379761969,34.862935888310744,5.502816196636686,24.899188955191246,26.174298394377015,2.518789358109875,1.2934098236883074e-12,93.0349082277739,49.705389376876255,85.90939194677576,35.1043770147273,64.9135155621847,67.36186290262663,71.26561214237807,62.17814672579778,65.08309640590078,24.670165387960658,84.2111663645035,66.00000000000001,46.50210207804356,17.900552782124446,30.260620108843117,8.520961713998076e-13,100.0,42.54691716373536,59.2488287827914,34.02031373961772,3.561044642069269,0.0,72400577.0
574,100.0,99.99999999999672,99.99999999999913,100.0,36.32706958431871,5.654947888855,34.0,17.103980591884948,35.48760616063314,28.198206097943324,32.85910466652903,34.30426132587725,99.99999999999979,44.21808994245433,40.03958256943355,64.09525075472978,99.9999999999998,43.63143655731637,49.62440757681659,3.760880495917718e-13,67.76865575059271,36.848739789634486,12.688254566409157,71.2999737277334,45.54112107622695,0.0,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,28.24044047445226,41.93498227923604,32.43818976857954,16.995619880352866,31.337394128623664,41.24993398698054,46.61071386442519,41.218143041961454,27.373414231281888,75.76726833597587,23.973299766496385,1.2534557614431368,49.031186252757635,68.28324894318804,58.776086857134246,4.748014720653771,9.899622720327905,65.4165984332987,16.195501608192707,53.48158273548022,39.132218332645735,52.655270993590044,1.1657341758564144e-13,16.29893542538777,0.0,15.500700692681187,47.96002187006296,0.0,31.011019240580197,0.0,42.29699765332107,59.2488287827914,58.29568173103573,19.079257318155022,36.3673980838357,72400579.0
575,2.3703261575747092e-12,0.0,5.839773109528323e-12,5.086209231563998e-13,52.14247786472567,23.933099965679684,19.99999999999999,47.23573890312527,17.284194432279918,25.18221467459942,31.504850438628964,3.833057377599541,5.323833273995726,29.85725125537155,13.6871017485171,38.46386480017471,18.848784045428037,43.63143655731637,49.62440757681659,3.760880495917718e-13,9.412928045846037,62.28690970227616,49.86954781198264,58.67512125541955,45.54112107622695,0.0,22.524200228362307,32.66885516068157,9.778642090021906,8.69819335931607,25.143038702849175,49.26781991766081,39.79310008798452,21.19823918262124,11.028112661237374,31.554161346054027,50.406948160168696,71.87655791599497,35.26722862503666,33.573210479789225,48.43004418978546,26.174298394377015,2.518789358109875,1.2934098236883074e-12,68.41301240571028,59.66822558340296,2.2428311023352214,76.75405801685345,59.120712669430475,70.34600824366821,56.20307158464741,2.5385528888929256,27.30313596437931,64.1051136025377,54.32978475129258,90.00000000000001,100.0,7.818787250526659,10.095204095964338,8.520961713998076e-13,0.0,18.81394516882361,60.60914655336056,10.432899783925814,32.91859418426771,49.65560624477238,72400580.0
576,2.3703261575747092e-12,99.99999999999672,5.839773109528323e-12,5.086209231563998e-13,23.994480218890764,40.813629644346264,75.0,52.50068184400127,32.726958801541656,26.651381976938353,62.42427416223934,36.341169517304536,54.09891797743518,31.808841101302832,68.76124461658652,17.887042769069588,56.38225208047821,43.63143655731637,49.62440757681659,3.760880495917718e-13,51.687779078676584,61.72036497182037,43.32848419655884,5.842677537367197,45.54112107622695,0.0,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,77.638567792837,33.557756681745644,39.683669404244405,63.70426551285825,44.506902886163125,42.858187988225126,26.04048415133945,38.24371057667257,4.02209132022588,41.23372670134217,26.174298394377015,2.518789358109875,1.2934098236883074e-12,23.219835048750888,90.66233450959733,2.1824889913554637,49.90472926744824,55.34178289016693,0.0,39.435803704136035,23.462504425795277,12.726024464277458,38.5382234371424,43.46382780103406,4.9999999999999964,60.45273270145663,37.65391107963226,5.047602047982166,24.81710204623475,100.0,52.62194922513241,99.99999999999972,39.11101293405366,12.307428168046062,49.65560624477238,72400581.0
577,2.3703261575747092e-12,13.437148831640283,5.839773109528323e-12,5.086209231563998e-13,17.661210704802322,83.80831522604268,37.99999999999999,49.044408425594106,18.97950104978535,28.198206097943324,32.85910466652903,34.30426132587725,99.99999999999979,54.83669372661502,51.369688016868,47.31439824576692,91.16765306223071,43.63143655731637,49.62440757681659,3.760880495917718e-13,55.387090643853654,9.799843127418095,28.144580975993,51.84719036834253,45.54112107622695,0.0,13.184861247447563,53.203160628173265,9.666570043701055,44.37268340694183,5.518005735673082,35.764345832586066,37.3605388069821,33.634323715431854,27.1841150271782,35.55213679298014,53.13334841072961,51.2958233834196,31.85516856009169,13.574246008587307,72.58879578586026,26.174298394377015,2.518789358109875,1.2934098236883074e-12,35.44019884865538,11.243110566612657,2.3592239273284576e-13,36.74895146973311,69.19552821256224,86.54150985186092,61.22610510473705,6.3732054816113495,79.95840695796936,38.32388806930991,10.865956950258514,10.0,9.300420415608716,2.5180195496031925,6.927144894591603,8.520961713998076e-13,100.0,59.72573142854354,2.275957200481571e-13,31.199809306432186,7.164431527487864,36.3673980838357,72400582.0
578,2.3703261575747092e-12,13.437148831640283,5.839773109528323e-12,5.086209231563998e-13,29.535348295126322,84.11794988119321,95.0,53.42192438572666,21.653519466923292,31.426532304710914,13.884775142047163,24.633376582049685,72.60121540517521,31.13235798064385,17.744541243602086,53.380304631891306,84.40315169195122,47.2512298045478,37.819438158380535,14.034700993922838,51.61785111246571,25.984987100444908,43.36928302134329,14.467069778703307,45.54112107622695,0.0,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,47.29175864178507,46.32945763744096,20.0419244492718,36.24868841321502,53.30467880891903,48.98762641436982,46.23600877843295,29.472943941275314,17.226871955854932,82.24079806047413,26.174298394377015,2.518789358109875,1.2934098236883074e-12,68.28324894318804,58.776086857134246,4.748014720653771,53.351425809939,9.43689570931383e-14,24.984666460967397,53.48158273548022,39.132218332645735,52.655270993590044,1.1657341758564144e-13,5.4329784751292545,20.534140969162998,15.500700692681187,7.818787250526659,25.238010239910853,8.520961713998076e-13,100.0,57.19777089688305,59.2488287827914,29.172563376854182,4.12674647599483,36.3673980838357,72400583.0
579,100.0,30.81050816368174,5.839773109528323e-12,5.086209231563998e-13,26.389454807715694,18.815667972261664,29.999999999999993,48.284231510399216,19.696095867658254,18.356483410805275,47.787546932760954,26.047381228158052,4.406898976413437,50.58123531296588,80.24792675921569,60.09772250095914,9.442917602681938,43.63143655731637,49.62440757681659,3.760880495917718e-13,50.75881868278213,22.739834487386805,48.75720649437862,24.148210372116715,45.54112107622695,0.0,29.442856166103965,40.91230312408358,11.723968711242225,18.2773925178276,4.413136522884997e-13,20.428902131553663,44.53729244847652,30.14413190175272,15.940594165351216,31.258417904124535,14.801740368620376,46.913204447436634,28.554001917601234,12.082007959014053,33.287992760095996,23.973299766496385,1.2534557614431368,49.031186252757635,35.44019884865538,11.243110566612657,2.3592239273284576e-13,49.90472926744824,55.34178289016693,0.0,35.898559641968944,100.0,72.6968640356207,35.89488639746243,5.4329784751292545,20.534140969162998,9.300420415608716,27.156602368906107,1.3974398456013253,8.520961713998076e-13,0.0,47.315926133706974,2.275957200481571e-13,26.205862016496127,3.139032175917382,99.99999999999953,72400584.0
