,SC001Q01TA,SC013Q01TA,CNTSCHID,CCAA
775,4.0,2.0,72400781.0,17
776,2.0,1.0,72400782.0,10
777,2.0,1.0,72400783.0,01
778,4.0,1.0,72400784.0,04
779,2.0,2.0,72400785.0,16
780,2.0,1.0,72400786.0,13
781,2.0,1.0,72400787.0,10
782,2.0,1.0,72400788.0,03
783,4.0,1.0,72400789.0,05
784,3.0,1.0,72400790.0,06
785,1.0,2.0,72400791.0,03
786,5.0,1.0,72400792.0,13
787,4.0,2.0,72400793.0,03
788,3.0,1.0,72400794.0,16
789,1.0,1.0,72400795.0,08
790,3.0,1.0,72400796.0,17
791,1.0,1.0,72400797.0,05
792,3.0,1.0,72400798.0,16
793,4.0,2.0,72400799.0,16
794,3.0,1.0,72400800.0,17
795,4.0,1.0,72400801.0,15
796,4.0,2.0,72400802.0,15
797,4.0,1.0,72400803.0,10
798,3.0,1.0,72400804.0,06
799,4.0,2.0,72400805.0,01
800,2.0,1.0,72400807.0,08
801,3.0,1.0,72400808.0,16
802,,,72400809.0,11
803,3.0,1.0,72400810.0,08
804,5.0,1.0,72400811.0,13
805,1.0,1.0,72400812.0,10
806,3.0,2.0,72400813.0,14
807,4.0,1.0,72400814.0,01
808,3.0,2.0,72400815.0,08
809,3.0,1.0,72400816.0,17
810,4.0,2.0,72400817.0,05
811,4.0,1.0,72400818.0,13
812,4.0,1.0,72400819.0,06
813,2.0,1.0,72400820.0,01
814,4.0,1.0,72400821.0,17
815,2.0,1.0,72400822.0,04
816,2.0,1.0,72400823.0,13
817,4.0,2.0,72400824.0,02
818,1.0,2.0,72400825.0,15
819,2.0,2.0,72400826.0,16
820,3.0,1.0,72400827.0,16
821,4.0,1.0,72400828.0,16
822,2.0,1.0,72400829.0,11
823,2.0,1.0,72400830.0,01
824,4.0,2.0,72400831.0,16
825,4.0,2.0,72400832.0,05
826,3.0,1.0,72400833.0,01
827,4.0,1.0,72400834.0,05
828,3.0,2.0,72400835.0,13
829,4.0,2.0,72400836.0,03
830,3.0,1.0,72400837.0,13
831,3.0,1.0,72400838.0,01
832,4.0,1.0,72400839.0,17
833,3.0,2.0,72400840.0,18
834,4.0,1.0,72400841.0,14
835,3.0,1.0,72400842.0,04
836,3.0,1.0,72400843.0,08
837,3.0,2.0,72400844.0,11
838,5.0,2.0,72400845.0,09
839,2.0,1.0,72400846.0,03
840,4.0,1.0,72400847.0,03
841,4.0,1.0,72400848.0,02
842,3.0,2.0,72400849.0,16
843,3.0,1.0,72400850.0,03
844,4.0,2.0,72400851.0,16
845,4.0,2.0,72400852.0,02
846,5.0,1.0,72400853.0,13
847,1.0,1.0,72400854.0,07
848,2.0,1.0,72400855.0,12
849,4.0,2.0,72400856.0,06
850,3.0,1.0,72400857.0,19
851,3.0,1.0,72400858.0,16
852,3.0,1.0,72400859.0,02
853,3.0,1.0,72400860.0,17
854,4.0,2.0,72400861.0,12
855,4.0,2.0,72400862.0,13
856,3.0,1.0,72400863.0,08
857,2.0,1.0,72400864.0,11
858,2.0,2.0,72400865.0,12
859,4.0,1.0,72400866.0,02
860,,,72400867.0,01
861,5.0,2.0,72400869.0,13
862,3.0,1.0,72400870.0,17
863,4.0,2.0,72400871.0,12
864,2.0,1.0,72400872.0,13
865,2.0,2.0,72400873.0,16
866,3.0,1.0,72400874.0,07
867,3.0,1.0,72400875.0,10
868,3.0,1.0,72400876.0,13
869,4.0,2.0,72400877.0,15
870,3.0,1.0,72400878.0,14
871,2.0,1.0,72400879.0,11
872,3.0,2.0,72400880.0,03
873,3.0,2.0,72400881.0,16
874,4.0,2.0,72400882.0,02
875,1.0,1.0,72400883.0,07
876,2.0,1.0,72400884.0,04
877,2.0,1.0,72400885.0,03
878,4.0,2.0,72400886.0,14
879,4.0,1.0,72400887.0,09
880,3.0,1.0,72400888.0,01
881,4.0,1.0,72400889.0,15
882,2.0,1.0,72400890.0,06
883,4.0,1.0,72400891.0,17
884,2.0,2.0,72400892.0,04
885,4.0,1.0,72400893.0,04
886,5.0,1.0,72400894.0,13
887,4.0,1.0,72400895.0,07
888,3.0,2.0,72400896.0,07
889,3.0,1.0,72400897.0,16
890,4.0,1.0,72400898.0,11
891,5.0,1.0,72400899.0,04
892,3.0,1.0,72400900.0,11
893,2.0,2.0,72400901.0,14
894,4.0,1.0,72400902.0,01
895,1.0,1.0,72400903.0,16
896,4.0,1.0,72400904.0,13
897,3.0,1.0,72400905.0,05
898,4.0,1.0,72400906.0,03
899,3.0,2.0,72400907.0,18
900,1.0,1.0,72400908.0,06
901,2.0,1.0,72400909.0,17
902,4.0,1.0,72400910.0,15
903,5.0,2.0,72400911.0,13
904,2.0,1.0,72400912.0,16
905,2.0,2.0,72400913.0,13
906,3.0,1.0,72400914.0,05
907,2.0,2.0,72400915.0,12
908,4.0,2.0,72400916.0,17
909,3.0,2.0,72400917.0,07
910,,,72400918.0,17
911,2.0,1.0,72400919.0,16
912,3.0,1.0,72400920.0,13
913,2.0,1.0,72400921.0,03
914,3.0,1.0,72400922.0,03
915,2.0,1.0,72400923.0,05
916,5.0,1.0,72400924.0,02
917,1.0,1.0,72400925.0,10
918,3.0,1.0,72400926.0,08
919,3.0,2.0,72400927.0,18
920,4.0,2.0,72400928.0,04
921,4.0,1.0,72400929.0,05
922,3.0,1.0,72400930.0,14
923,2.0,2.0,72400931.0,16
924,3.0,1.0,72400933.0,11
925,4.0,1.0,72400934.0,13
926,2.0,1.0,72400935.0,11
927,4.0,2.0,72400936.0,09
928,3.0,2.0,72400937.0,13
929,5.0,2.0,72400938.0,13
930,,,72400939.0,13
931,3.0,1.0,72400940.0,04
932,3.0,2.0,72400941.0,12
933,2.0,1.0,72400942.0,10
934,3.0,1.0,72400943.0,11
935,2.0,2.0,72400944.0,16
936,3.0,2.0,72400945.0,01
937,3.0,1.0,72400946.0,16
938,3.0,1.0,72400947.0,01
939,3.0,1.0,72400948.0,06
940,4.0,2.0,72400949.0,01
941,3.0,1.0,72400950.0,16
942,3.0,1.0,72400951.0,11
943,2.0,1.0,72400952.0,08
944,5.0,2.0,72400953.0,13
945,3.0,1.0,72400954.0,16
946,3.0,2.0,72400956.0,17
947,4.0,2.0,72400957.0,02
948,4.0,1.0,72400958.0,09
949,2.0,1.0,72400959.0,14
950,3.0,2.0,72400960.0,06
951,2.0,2.0,72400961.0,16
952,4.0,1.0,72400962.0,12
953,2.0,1.0,72400963.0,05
954,2.0,1.0,72400964.0,12
955,2.0,1.0,72400965.0,03
956,1.0,1.0,72400966.0,05
957,3.0,2.0,72400967.0,14
958,2.0,1.0,72400968.0,09
959,3.0,2.0,72400969.0,01
960,4.0,2.0,72400970.0,03
961,5.0,2.0,72400971.0,13
962,3.0,1.0,72400972.0,05
963,1.0,1.0,72400973.0,11
964,4.0,2.0,72400974.0,01
965,2.0,1.0,72400975.0,17
966,5.0,2.0,72400976.0,13
967,3.0,1.0,72400977.0,11
968,2.0,1.0,72400978.0,11
969,4.0,2.0,72400979.0,07
970,4.0,2.0,72400980.0,16
971,3.0,1.0,72400981.0,11
972,4.0,1.0,72400982.0,03
973,2.0,1.0,72400983.0,14
974,4.0,2.0,72400984.0,06
975,4.0,2.0,72400985.0,10
976,3.0,1.0,72400986.0,14
977,2.0,1.0,72400987.0,12
978,3.0,1.0,72400988.0,04
979,2.0,1.0,72400989.0,16
980,4.0,1.0,72400990.0,03
981,4.0,1.0,72400991.0,07
982,4.0,1.0,72400992.0,14
983,3.0,1.0,72400993.0,05
984,3.0,1.0,72400994.0,13
985,2.0,1.0,72400995.0,15
986,3.0,2.0,72400996.0,08
987,2.0,1.0,72400997.0,15
988,4.0,2.0,72400998.0,04
989,3.0,1.0,72400999.0,10
990,3.0,1.0,72401000.0,01
991,4.0,2.0,72401001.0,11
992,4.0,1.0,72401002.0,02
993,5.0,2.0,72401003.0,13
994,4.0,1.0,72401004.0,16
995,2.0,1.0,72401005.0,08
996,3.0,1.0,72401007.0,08
997,3.0,1.0,72401008.0,07
998,4.0,1.0,72401009.0,12
999,4.0,2.0,72401010.0,12
1000,3.0,2.0,72401011.0,17
1001,2.0,1.0,72401012.0,01
1002,1.0,1.0,72401013.0,03
1003,4.0,1.0,72401014.0,01
1004,3.0,2.0,72401015.0,13
1005,3.0,1.0,72401016.0,13
1006,4.0,2.0,72401017.0,13
1007,2.0,1.0,72401019.0,06
1008,1.0,1.0,72401020.0,07
1009,4.0,1.0,72401021.0,04
1010,5.0,2.0,72401022.0,13
1011,3.0,2.0,72401023.0,08
1012,3.0,1.0,72401024.0,14
1013,4.0,1.0,72401025.0,03
1014,5.0,2.0,72401026.0,13
1015,3.0,1.0,72401027.0,17
1016,4.0,1.0,72401028.0,07
1017,3.0,1.0,72401030.0,08
1018,4.0,2.0,72401031.0,06
1019,3.0,1.0,72401032.0,03
1020,5.0,2.0,72401033.0,13
1021,3.0,1.0,72401034.0,01
1022,4.0,1.0,72401035.0,16
1023,3.0,1.0,72401036.0,14
1024,4.0,1.0,72401037.0,06
1025,3.0,1.0,72401038.0,14
1026,3.0,1.0,72401039.0,19
1027,,,72401040.0,13
1028,4.0,2.0,72401041.0,13
1029,2.0,2.0,72401042.0,05
1030,3.0,1.0,72401043.0,02
1031,4.0,1.0,72401044.0,07
1032,3.0,1.0,72401045.0,08
1033,5.0,1.0,72401046.0,13
1034,3.0,1.0,72401047.0,16
1035,2.0,1.0,72401048.0,12
1036,3.0,2.0,72401049.0,10
1037,2.0,1.0,72401050.0,10
1038,3.0,2.0,72401051.0,17
1039,2.0,1.0,72401052.0,02
1040,4.0,1.0,72401053.0,04
1041,5.0,2.0,72401054.0,09
1042,3.0,1.0,72401055.0,13
1043,4.0,1.0,72401056.0,07
1044,4.0,1.0,72401057.0,16
1045,5.0,2.0,72401058.0,13
1046,3.0,1.0,72401059.0,13
1047,3.0,1.0,72401060.0,17
1048,3.0,1.0,72401062.0,01
1049,1.0,2.0,72401063.0,12
1050,3.0,1.0,72401064.0,18
1051,2.0,1.0,72401065.0,10
1052,1.0,1.0,72401066.0,16
1053,2.0,2.0,72401067.0,10
1054,2.0,1.0,72401068.0,11
1055,2.0,1.0,72401069.0,02
1056,3.0,2.0,72401070.0,13
1057,5.0,2.0,72401071.0,13
1058,4.0,2.0,72401072.0,17
1059,4.0,2.0,72401073.0,04
1060,2.0,1.0,72401074.0,08
1061,,,72401075.0,13
1062,3.0,1.0,72401076.0,06
1063,3.0,1.0,72401077.0,13
1064,4.0,1.0,72401078.0,14
1065,4.0,1.0,72401079.0,10
1066,5.0,2.0,72401080.0,13
1067,3.0,1.0,72401081.0,03
1068,3.0,2.0,72401082.0,06
1069,2.0,1.0,72401083.0,10
1070,,,72401084.0,13
1071,3.0,1.0,72401085.0,03
1072,3.0,1.0,72401086.0,19
1073,5.0,2.0,72401087.0,13
1074,3.0,2.0,72401088.0,16
1075,4.0,1.0,72401089.0,02
1076,3.0,1.0,72401090.0,14
1077,2.0,2.0,72401091.0,12
1078,4.0,2.0,72401092.0,07
1079,5.0,2.0,72401093.0,09
1080,3.0,1.0,72401094.0,18
1081,4.0,1.0,72401095.0,12
1082,2.0,1.0,72401096.0,08
1083,,,72401097.0,09
1084,3.0,2.0,72401098.0,06
1085,2.0,1.0,72401099.0,07
1086,3.0,1.0,72401100.0,16
1087,3.0,1.0,72401101.0,13
1088,1.0,1.0,72401102.0,07
